Data Table for Rates of COVID-19-Associated Hospitalizations by Vaccination Status in Adults
Date generated: Sun May 01 2022 00:27:35 GMT-0400 (Eastern Daylight Time)
Week ending,Age group,Rate in unvaccinated,Rate in fully vaccinated
2021-07-17,65+ yr,27.3,2.5
2021-07-24,12-17 yr,0.7,0.1
2021-07-24,18-49 yr,9.7,0.4
2021-07-24,50-64 yr,22.9,1.1
2021-07-24,65+ yr,33.8,3.9
2021-07-31,12-17 yr,1,0
2021-07-31,18-49 yr,13.6,0.7
2021-07-31,50-64 yr,32.3,1.7
2021-07-31,65+ yr,48.6,6.2
2021-08-07,12-17 yr,2,0
2021-08-07,18-49 yr,19,0.7
2021-08-07,50-64 yr,43.6,2.5
2021-08-07,65+ yr,62.8,7.7
2021-08-14,12-17 yr,2.6,0.1
2021-08-14,18-49 yr,20.3,1.4
2021-08-14,50-64 yr,56.4,4
2021-08-14,65+ yr,82.3,11.3
2021-08-21,12-17 yr,2.9,0.3
2021-08-21,18-49 yr,23.8,0.9
2021-08-21,50-64 yr,70.8,3
2021-08-21,65+ yr,110.5,12.7
2021-08-28,12-17 yr,3.9,0.2
2021-08-28,18-49 yr,25.7,1.7
2021-08-28,50-64 yr,74.1,3.3
2021-08-28,65+ yr,128.6,15.3
2021-09-04,12-17 yr,4.1,0.2
2021-09-04,18-49 yr,24.8,0.7
2021-09-04,50-64 yr,67.3,3.2
2021-09-04,65+ yr,125.8,12
2021-09-11,12-17 yr,3.3,0.6
2021-09-11,18-49 yr,23.4,0.9
2021-09-11,50-64 yr,81.1,3.7
2021-09-11,65+ yr,143.1,14.3
2021-09-18,12-17 yr,3.6,0.2
2021-09-18,18-49 yr,21.4,0.7
2021-09-18,50-64 yr,57.5,3.2
2021-09-18,65+ yr,103.9,11.6
2021-09-25,12-17 yr,3.8,0.1
2021-09-25,18-49 yr,19.7,0.8
2021-09-25,50-64 yr,61.7,3.3
2021-09-25,65+ yr,103.3,14.2
2021-10-02,12-17 yr,3.1,0.3
2021-10-02,18-49 yr,17.4,1.4
2021-10-02,50-64 yr,51.5,4
2021-10-02,65+ yr,114.8,13.1
2021-10-09,12-17 yr,3.5,0.3
2021-10-09,18-49 yr,17.5,1
2021-10-09,50-64 yr,49.3,4
2021-10-09,65+ yr,122.8,13.5
2021-10-16,12-17 yr,3.1,0.2
2021-10-16,18-49 yr,15.5,1.1
2021-10-16,50-64 yr,49.2,4
2021-10-16,65+ yr,121.8,13.1
2021-10-23,12-17 yr,2,0.3
2021-10-23,18-49 yr,14.1,1.1
2021-10-23,50-64 yr,48.8,3.3
2021-10-23,65+ yr,91.7,10.9
2021-10-30,12-17 yr,3.5,0.1
2021-10-30,18-49 yr,14.9,1.2
2021-10-30,50-64 yr,44,3.2
2021-10-30,65+ yr,113.9,11.9
2021-11-06,12-17 yr,2.2,0.3
2021-11-06,18-49 yr,14.9,1.1
2021-11-06,50-64 yr,61.7,4.5
2021-11-06,65+ yr,128.1,11.4
2021-11-13,12-17 yr,1.9,0.2
2021-11-13,18-49 yr,17.6,1.5
2021-11-13,50-64 yr,58.7,5.1
2021-11-13,65+ yr,144.3,14.5
2021-11-20,12-17 yr,3.5,0.5
2021-11-20,18-49 yr,16.9,1.2
2021-11-20,50-64 yr,67.1,5.5
2021-11-20,65+ yr,160.3,15.3
2021-11-27,12-17 yr,2.1,0.2
2021-11-27,18-49 yr,19.9,1
2021-11-27,50-64 yr,66,4.2
2021-11-27,65+ yr,183.9,12.8
2021-12-04,12-17 yr,2.7,0.4
2021-12-04,18-49 yr,19.2,1.1
2021-12-04,50-64 yr,78.7,3.7
2021-12-04,65+ yr,190.3,14.2
2021-12-11,12-17 yr,3,0.2
2021-12-11,18-49 yr,20.7,1.6
2021-12-11,50-64 yr,77.8,3.4
2021-12-11,65+ yr,230.8,15.1
2021-12-18,12-17 yr,4.1,0.7
2021-12-18,18-49 yr,21,2.1
2021-12-18,50-64 yr,79.4,4.7
2021-12-18,65+ yr,228.9,14.6
2021-12-25,12-17 yr,5.6,1
2021-12-25,18-49 yr,28.4,2.9
2021-12-25,50-64 yr,69.5,7.9
2021-12-25,65+ yr,227,16.7
2022-01-01,5-11 yr,1.9,0.7
2022-01-01,12-17 yr,9.9,2.7
2022-01-01,18-49 yr,50.7,7.6
2022-01-01,50-64 yr,109.8,15.5
2022-01-01,65+ yr,305.4,36.5
2022-01-08,5-11 yr,2.4,1.4
2022-01-08,12-17 yr,7.8,2.7
2022-01-08,18-49 yr,53.2,11.8
2022-01-08,50-64 yr,131,24.8
2022-01-08,65+ yr,462.8,56
2022-01-15,5-11 yr,1.7,0.1
2022-01-15,12-17 yr,8.5,3.9
2022-01-15,18-49 yr,43.7,10.3
2022-01-15,50-64 yr,115.2,19.6
2022-01-15,65+ yr,480.8,55.1
2022-01-22,5-11 yr,3.9,2.3
2022-01-22,12-17 yr,7.5,8.7
2022-01-22,18-49 yr,37.4,9.9
2022-01-22,50-64 yr,101.7,16.8
2022-01-22,65+ yr,387.4,52
2022-01-29,5-11 yr,2.5,1.2
2022-01-29,12-17 yr,3.5,4.3
2022-01-29,18-49 yr,25.9,5.7
2022-01-29,50-64 yr,75.6,19
2022-01-29,65+ yr,362.8,38.7
2022-02-05,5-11 yr,1.2,0.8
2022-02-05,12-17 yr,4.3,2.3
2022-02-05,18-49 yr,20.7,5.2
2022-02-05,50-64 yr,64.8,12.6
2022-02-05,65+ yr,228.7,28.7
2022-02-12,5-11 yr,1.4,1.2
2022-02-12,12-17 yr,2.7,1.9
2022-02-12,18-49 yr,14.9,4.4
2022-02-12,50-64 yr,40.4,8
2022-02-12,65+ yr,173.2,24.1
2022-02-19,5-11 yr,0.9,0.6
2022-02-19,12-17 yr,1.7,1.1
2022-02-19,18-49 yr,10.3,2.8
2022-02-19,50-64 yr,28.6,5.2
2022-02-19,65+ yr,104,18.6
2022-02-26,5-11 yr,0.9,0.1
2022-02-26,12-17 yr,1.7,0.7
2022-02-26,18-49 yr,9.3,1.9
2022-02-26,50-64 yr,17.6,4.8
2022-02-26,65+ yr,79.2,15.2
